Step,Entity,X_Coord,Y_Coord,groundtruth,Label
0,4,-260.2308798699649,-466.3366798229686,Driving,0
0,9,47.443607923477614,-223.4275311932264,Driving,0
0,13,-36.87967431985865,-120.43815571128884,OnFoot,0
0,24,1952.494514392591,-770.2804099386094,Driving,0
0,27,-90.35993797852689,732.2770067485744,Driving,0
0,32,-668.4650995194986,-270.5203892251756,Driving,0
0,35,86.36195980145675,-35.96204271343426,OnFoot,0
0,36,1003.2717918372592,839.7277719416338,Driving,0
0,37,9.987746962732755,-40.51471713927762,OnFoot,0
0,42,53.41883108658406,135.28360115652785,OnFoot,0
0,50,94.08570350127523,-17.83501809891638,OnFoot,0
0,65,302.3890905338673,878.1133041011815,Driving,0
0,69,81.03996390437715,76.44774893113787,OnFoot,0
0,71,-186.4758072696092,-5.691366572566693,OnFoot,0
0,99,427.28938085430224,-98.97138160615287,OnFoot,0
0,101,672.2828881756028,140.037313954002,Driving,0
0,110,19.90196734022193,87.21043567635782,OnFoot,0
0,114,-9.49795578985674,-0.7457533030471668,OnFoot,1
0,115,-83.3060348810594,234.5711158894772,Driving,0
0,118,-84.05834517420217,203.35764807773705,OnFoot,0
0,121,-10.597828133673692,-3.193000944105198,OnFoot,0
0,124,101.05464192065436,-31.09237170609664,OnFoot,0
0,131,308.1324802275469,-129.3430697086074,Driving,0
0,132,38.48602267108628,-62.30643449732276,Driving,1
0,163,-93.3522678848782,128.00713591688614,OnFoot,0
0,166,766.3299111359504,143.57865574159715,Driving,0
0,167,-54.04962320119721,37.28695724523431,Driving,1
0,175,0.2156175999776337,172.78849014389763,OnFoot,0
0,179,-20.19807980641912,-35.2745516525129,OnFoot,0
0,180,-1435.983081769983,4819.598497364637,Driving,0
0,209,-93.83365855318198,-99.31841273228264,OnFoot,0
0,212,-63.14030883586169,68.89321306334524,OnFoot,0
0,218,52.74798420530399,195.0915307606044,Driving,0
0,219,-74.73127095382773,268.0213727992325,OnFoot,0
0,227,76.67153890694507,89.99926816495697,OnFoot,0
0,254,-95.84661233702153,138.8696651710114,OnFoot,0
0,261,-80.2825839742438,-220.1629400082361,Driving,0
0,270,0.0386215865831195,0.4838964397576657,OnFoot,1
0,283,-85.4003769320086,213.0690409141492,OnFoot,0
0,288,-461.625669332915,-652.4336734124556,Driving,0
