Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,American,male,1,-1,0
0,2,Chinese,female,3,6,1
0,3,American,female,1,-5,0
0,4,Chinese,female,3,2,0
0,5,Indian,female,2,3,0
0,6,German,male,2,-4,0
0,7,Indian,female,2,3,0
0,8,African,female,3,-4,1
0,9,German,female,1,-4,1
0,10,Indian,female,2,1,0
0,11,Chinese,male,3,5,0
0,12,American,male,1,4,0
0,13,German,male,3,-1,0
0,14,German,male,3,-1,0
0,15,Indian,female,2,-5,0
0,16,Chinese,male,3,6,0
0,17,African,male,3,-2,0
0,18,German,female,2,6,0
0,19,Chinese,female,1,-5,0
0,20,American,female,1,-3,1
0,21,American,female,3,-4,0
0,22,African,female,3,-1,0
0,23,African,female,1,-4,1
0,24,American,female,3,8,0
0,25,African,male,2,7,0
0,26,African,female,2,5,0
0,27,German,male,3,8,0
0,28,Chinese,male,2,8,0
0,29,German,female,3,-4,0
0,30,American,male,2,-1,0
0,31,Indian,female,3,8,1
0,32,American,male,2,4,1
0,33,German,female,2,-6,1
0,34,German,female,2,5,0
0,35,American,male,3,6,1
0,36,Indian,male,3,6,0
0,37,Indian,male,1,8,1
0,38,American,female,3,-3,0
0,39,Indian,male,1,-3,0
0,40,Chinese,male,3,-2,0
0,41,Chinese,female,3,3,0
0,42,American,female,1,-1,0
0,43,African,female,1,2,0
0,44,African,male,1,-6,0
0,45,Chinese,male,1,-1,0
0,46,African,female,1,6,1
0,47,Chinese,male,1,3,0
0,48,Indian,male,3,2,0
0,49,German,female,1,-2,0
0,50,African,male,2,-4,0
0,51,Indian,male,2,-1,0
0,52,Chinese,male,1,4,0
0,53,African,female,1,-3,0
0,54,African,male,2,-1,0
0,55,African,female,2,1,0
0,56,German,male,2,-6,1
0,57,German,female,2,-2,0
0,58,Chinese,female,2,4,1
0,59,Chinese,male,2,2,0
0,60,Indian,male,1,3,0
0,61,German,male,1,8,1
0,62,American,female,3,-5,1
0,63,African,female,3,3,0
0,64,African,female,1,1,1
0,65,American,male,3,-2,0
0,66,Indian,female,1,4,0
0,67,African,female,3,-1,0
0,68,Chinese,female,1,-5,0
0,69,African,male,1,5,0
0,70,German,female,1,4,0
0,71,Indian,female,3,8,0
0,72,German,male,1,-2,0
0,73,Indian,female,3,-5,1
0,74,American,female,3,1,1
0,75,Chinese,male,2,-3,0
0,76,African,male,1,6,0
0,77,Indian,male,2,4,1
0,78,American,female,3,-5,0
0,79,American,male,3,-1,1
0,80,American,female,3,-1,0
0,81,American,male,3,3,1
0,82,German,male,2,3,0
0,83,Chinese,male,2,5,0
0,84,German,female,1,8,1
0,85,Indian,female,2,8,1
0,86,African,female,2,-6,0
0,87,African,female,2,3,0
0,88,American,female,1,-6,0
0,89,German,female,2,5,0
0,90,German,male,2,4,0
0,91,American,female,3,-5,0
0,92,German,male,1,-4,1
0,93,German,female,3,-5,0
0,94,American,male,1,8,0
0,95,Indian,male,2,-6,1
0,96,African,female,1,8,1
0,97,American,female,2,3,0
0,98,Chinese,female,1,-4,0
0,99,Chinese,male,2,5,1
0,100,Chinese,female,3,2,1
0,101,American,male,1,1,0
0,102,Indian,male,3,-4,0
0,103,American,female,2,3,0
0,104,Indian,female,1,-6,0
0,105,American,male,2,-1,1
0,106,Chinese,male,2,2,0
0,107,Indian,male,2,-1,0
0,108,African,male,1,5,0
0,109,German,female,1,7,1
0,110,American,male,1,-5,0
0,111,American,male,1,4,1
0,112,Indian,female,3,3,0
0,113,German,female,1,-1,0
0,114,German,female,1,2,0
0,115,Indian,female,1,2,1
0,116,Chinese,male,2,3,1
0,117,American,female,3,5,1
0,118,African,female,3,-5,1
0,119,Chinese,female,3,5,0
0,120,Indian,female,1,2,1
0,121,Indian,female,1,6,0
0,122,African,male,1,1,0
0,123,American,female,1,1,0
0,124,African,female,2,8,0
0,125,German,female,1,-5,1
0,126,African,female,2,-4,0
0,127,Chinese,female,1,2,0
0,128,American,male,1,-1,0
0,129,Indian,male,2,2,0
0,130,German,male,1,-6,0
0,131,American,male,3,-1,0
0,132,Chinese,male,1,-4,1
0,133,German,female,1,-4,0
0,134,German,male,2,-6,0
0,135,Indian,male,3,3,0
0,136,African,female,2,3,0
0,137,Indian,male,3,-5,0
0,138,American,male,3,-6,0
0,139,African,female,2,2,0
0,140,Chinese,male,2,-4,0
0,141,German,female,3,-6,0
0,142,Chinese,female,1,8,0
0,143,African,male,2,6,0
0,144,Indian,male,3,-4,0
0,145,Chinese,female,2,-2,0
0,146,American,female,3,7,0
0,147,Chinese,male,1,-3,0
0,148,African,female,3,6,0
0,149,American,female,2,3,0
0,150,African,female,3,2,0
0,151,German,female,1,-3,0
0,152,German,female,1,1,0
0,153,Chinese,male,3,-1,0
0,154,African,female,2,2,1
0,155,African,male,3,-1,0
0,156,Indian,male,1,-3,0
0,157,African,female,1,-2,0
0,158,Chinese,female,3,1,0
0,159,Indian,male,2,-3,1
0,160,American,female,1,-1,1
0,161,Chinese,female,3,-3,0
0,162,American,male,2,-6,0
0,163,American,male,1,-4,0
0,164,German,male,2,2,0
0,165,American,male,2,5,0
0,166,American,male,2,6,1
0,167,American,female,3,-3,0
0,168,American,male,1,8,0
0,169,African,male,1,-6,0
0,170,African,female,2,6,0
0,171,German,male,2,5,0
0,172,African,male,2,-5,1
0,173,Indian,male,2,-5,0
0,174,African,male,3,5,0
0,175,American,male,3,8,0
0,176,German,female,2,4,0
0,177,German,male,2,-4,0
0,178,American,male,3,6,0
0,179,German,male,2,-4,0
