Step,Entity,X_Coord,Y_Coord,Label
0,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
1,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
2,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
3,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
4,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
5,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
6,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
7,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
8,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
9,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
10,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
11,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
12,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
13,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
14,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
15,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
16,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
17,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
18,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
19,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
20,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
21,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
22,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
23,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
24,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
25,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
26,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
27,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
28,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
29,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
30,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
31,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
32,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
33,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
34,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
35,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
36,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
37,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
38,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
39,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
40,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
41,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
42,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
43,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
44,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
45,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
46,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
47,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
48,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
49,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
50,2016-01-21_09:33:25-2016-01-21_15:32:07_B_HamburgGermany-TianjinChina,12.4109,51.3927,0
