Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entity,X_Coord,Y_Coord,loc-id,Step,Label
1071223,1071223,36738,31,40.694599,-73.990638,43814346e21444aaf4f70841bf7ed5ae93f55a9d,478,0
1071224,1071224,37486,34,39.976299,-105.067959,e05dfe9e8e9811dd82aa0030487eb504,478,0
1071226,1071226,40162,36,35.911594,-79.072248,e27277f4fabe11dd896c003048c0801e,478,0
1071228,1071228,44651,40,39.762146,-104.98248,356a192b7913b04c54574d18c28d46e6395428ab,478,0
1071229,1071229,45213,41,39.739154,-104.984703,ee8b1d0ea22411ddb074dbd65f1665cf,478,0
1071230,1071230,45767,42,37.485215,-122.236355,ee8064eaa22411dda6a473b5c7bcff4f,478,0
1071232,1071232,47190,45,38.937912,-104.744293,46501eec522c11de9622003048c0801e,478,0
1071233,1071233,49435,47,30.265204,-97.747934,3009fcd8937ae7e89017a81d0aee6eb2dfee3505,478,0
1071234,1071234,50992,49,40.018861,-105.278927,56b2f9283a9c11de94ea003048c10834,478,0
1071237,1071237,56651,61,40.005171,-105.266394,8977febe96758c415c45612724ef3da8b16d2fb7,478,0
1071238,1071238,57610,62,40.021987,-105.256641,c7cab3a47d1d11dda4d80030487eb504,478,0
1071239,1071239,59759,65,37.331688,-122.030731,3616d12540e70e57cc837ab6e89caf65a64e92ce,478,0
1071240,1071240,60338,66,39.718599,-104.899483,3903b4b00e494a5795c7d9b38ae2cd5db50fe857,478,0
1071241,1071241,61923,67,37.783743,-122.402127,d2ecffd5c32390644d68976e15045aeb4aaf1b04,478,0
1071242,1071242,64119,69,38.900413,-77.044168,1ee58556ca0811dd8a0d003048c10834,478,0
1071243,1071243,66983,76,39.765345,-104.99482,48a2c66f860903a919b808de2333725ea9602e22,478,0
1071245,1071245,70068,92,39.752792,-104.996801,47cf156efd529849f5cfabc6afe30e87f609b1fd,478,0
1071246,1071246,72227,102,38.90085,-77.022629,3d0b5132f96f11dd9d7b003048c0801e,478,0
1071247,1071247,76034,123,37.475219,-122.21776,f126f0aba9ab08bae1569689a3ab70dbe6936d61,478,0
1071249,1071249,78357,143,40.168073,-105.102487,510e884432b7037ed384f98693974a6d,478,0
1071250,1071250,80475,145,39.099275,-76.848306,ebd31cbaa22411ddab3ef3e5388aa708,478,0
1071251,1071251,82575,146,39.093866,-94.583282,cae5a9b8decf11ddb5f0003048c10834,478,0
1071252,1071252,84675,147,35.053979,-93.393518,eafd107aa22411dd939f0b41e8e8b910,478,0
1071254,1071254,88179,150,40.656982,-111.88707,dfc3091e4d6c11dea26f003048c0801e,478,0
1071255,1071255,89806,153,39.759224,-105.010918,6cf5d08cbefe8a0c83fa8084800acac680e9504d,478,0
1071256,1071256,91281,154,50.719619,-1.893796,8680598c72d94533d97bfa7674b376a3,478,0
1071257,1071257,93502,156,38.962914,-95.283396,3eaf86c14756d12e3628bff89b42b8ec,478,0
1071258,1071258,95878,158,36.855306,-76.14462,31ae7d2e72d548b0cc046045c6bd628244b34504,478,0
1071260,1071260,99008,160,3.618274,72.776184,dbf6e1f42c4d77b75ff76cbf15b1e34a4b7acb7f,478,0
1071261,1071261,99960,163,37.385218,-122.11413,ee78bb82a22411dd8b2b37bfcc646326,478,0
